_type,actor,date,directors,follows,language,location,name,score,screenwriter,total
"电 视 剧,爱 情,,现 代 都 市,",Angelababy   邓伦   朱一龙   李芯逸   »更多,2019年,张思麟 ,2788人喜欢,汉语普通话,中国内地,我的真朋友,8.1分," ,梅英菊, ",48 集
"电 视 剧,神 话 魔 幻,,古 装,",罗晋   王丽坤   邹兆龙   张博   »更多,2019年,杨晓明  吕行 ,14297人喜欢,汉语普通话,中国内地,封神演义,7.5分," ,朱苏进, ",65 集
"电 视 剧,励 志,",霍建华   杨幂   冯雷   姜宏波   »更多,2019年,金沙  韩冬 ,3157人喜欢,汉语普通话,中国内地,筑梦情缘,7.8分,"阳函君, ",60 集
"电 视 剧,现 代 都 市,",刘涛   杨烁   金晨   刘端端   »更多,2019年, 刘雪松 ,3086人喜欢,汉语普通话,中国内地,我们都要好好的,7.5分,"王伊, ",44 集
"电 视 剧,现 代 都 市,",柴碧云   柴碧云   孙绍龙   王渊慧   »更多,2019年, 林继东 ,1179人喜欢,汉语普通话,中国内地,我要和你在一起,8.1分," ,林继东, ",65 集
"电 视 剧,古 装,",徐正溪   何泓姗   曹曦文   黎耀祥   »更多,2019年, 卫翰韬 ,325人喜欢,汉语普通话,中国内地,凤弈,8.6分," ,张华标, ",41 集
"电 视 剧,青 春 偶 像,",张新成   周雨彤   郑伟   王佑硕   »更多,2019年,伊峥 ,333人喜欢,汉语普通话,中国内地,大宋少年志,8.0分,"王倦, ",42 集
"电 视 剧,犯 罪,",黄景瑜   吴刚   任达华   王劲松   »更多,2019年,刘璋牧 ,8983人喜欢,汉语普通话,中国内地,破冰行动,8.1分," ,陈育新, ",48 集
"电 视 剧,古 装,",张雪迎   李治廷   经超   罗云熙   »更多,2019年, 李慧珠 ,1720人喜欢,汉语普通话,中国内地,白发,8.4分,"程廷钰, ",58 集
,,,,1626人喜欢,,,,8.5分,,
"电 视 剧,现 代 都 市,,青 春 偶 像,",吴倩   张雨剑   赵志伟   马栗   »更多,2019年,,1626人喜欢,汉语普通话,中国内地,我只喜欢你,8.5分,,35 集
,,,,8983人喜欢,,,,8.1分,,
,,,,8983人喜欢,,,,8.1分,,
,,,,1043人喜欢,,,,7.0分,,
,,,,1043人喜欢,,,,7.0分,,
"电 视 剧,武 侠,,古 装,",秦俊杰   袁冰妍   韩承羽   袁澧林   »更多,2019年, 尹涛  刘国彤 ,1043人喜欢,汉语普通话,中国内地,听雪楼,7.0分,"韩佩贞, ",56 集
,,,,243人喜欢,,,,8.0分,,
,,,,243人喜欢,,,,8.0分,,
"电 视 剧,古 装,",郑元畅   张铭恩   黄梦莹   季晨   »更多,2019年, 马华干  邹曦 ,243人喜欢,汉语普通话,中国内地,爵迹·临界天下,8.0分," ,郭敬明,  ,白一骢, ",48 集
,,,,1626人喜欢,,,,8.5分,,
,,,,271人喜欢,,,,8.3分,,
"电 视 剧,爱 情,",窦骁   苗苗   彭冠英   王思思   »更多,2019年, 曹盾  程樯 ,274人喜欢,汉语普通话,中国内地,爱上你治愈我,8.3分,"莫菲勒, ,东山洵美, ,程樯, ",40 集
,,,,1041人喜欢,,,,7.0分,,
,,,,1041人喜欢,,,,7.0分,,
电 视 剧,李乃文   张晞临   叶静   胡丹丹   »更多,2019年, 武洪武  白钢 ,1193人喜欢,汉语普通话,中国内地,无名卫士,7.1分,"朱恩涛, ,扬子, ",42 集
,,,,1598人喜欢,,,,8.0分,,
"电 视 剧,乡 村,",傅晶   章贺   沙景昌   王伟   »更多,2019年, 顾晶 ,1717人喜欢,汉语普通话,中国内地,麦香,8.0分,,40 集
"电 视 剧,现 代 都 市,,家 庭,",张嘉译   闫妮   赵今麦   郭俊辰   »更多,2019年, 刘惠宁  李少飞 ,120人喜欢,汉语普通话,中国内地,少年派,7.7分," ,六六, ,九牧玉, ",41 集
,,,,4059人喜欢,,,,7.9分,,
,,,,4059人喜欢,,,,7.9分,,
"电 视 剧,爱 情,,现 代 都 市,",邢菲   林一   唐晓天   郑英辰   »更多,2019年, 祝东宁 ,4109人喜欢,汉语普通话,中国内地,致我们暖暖的小时光,7.9分,"赵乾乾, ",24 集
,,,,271人喜欢,,,,8.3分,,
"电 视 剧,革 命,",李健   王珂   王新军   韩宇辰   »更多,2019年, 陈健 ,295人喜欢,汉语普通话,中国内地,老虎队,7.3分," ,骆烨, ",45 集
"电 视 剧,现 代 都 市,",黄磊   海清   陶虹   王砚辉   »更多,2019年, 汪俊 ,24人喜欢,汉语普通话,中国内地,小欢喜,10.0分," ,张巍, ",40 集
"电 视 剧,神 话 魔 幻,,古 装,",宋祖儿   刘昊然   陈若轩   张嘉译   »更多,2019年,张晓波 ,1025人喜欢,汉语普通话,中国内地,九州缥缈录,9.0分,"江南, ,常江, ",68 集
"电 视 剧,神 话 魔 幻,,古 装,",张哲瀚   保剑锋   吴谨言   钟欣潼   »更多,2019年,李达超  刘镇明  任海曜  朱礼和 ,1319人喜欢,汉语普通话,中国内地,朝歌,7.8分,"于正, ",45 集
"电 视 剧,现 代 都 市,",王雅捷   王挺  ,2018年, 杜军 ,3745人喜欢,汉语普通话,中国内地,哥哥姐姐的花样年华,7.1分,,66 集
"电 视 剧,犯 罪,",斯琴高娃   高明   孙铁   颜世魁   »更多,2014年, 楼健 ,38人喜欢,汉语普通话,中国内地,上线下线,4.0分," ,袁子弹, ",26 集
"电 视 剧,古 装,,历 史 传 奇,",张若昀   毛晓彤   李宏毅   徐悦   »更多,2019年, 张健 ,1143人喜欢,汉语普通话,中国内地,霍去病,7.7分,,92 集
